Temps (s),Temp 1 (C),Temp 2 (C),Temp 3 (C),Sortie PID
453.08,40.39,36.08,34.79,1144.26
456.08,40.39,36.14,34.88,850.08
459.08,40.29,36.11,34.91,979.0
462.08,40.42,36.23,34.85,978.89
465.08,40.32,36.14,34.94,821.33
468.08,40.52,36.08,34.88,980.84
471.08,40.42,36.26,35.03,701.52
474.08,40.39,36.14,35.03,896.85
477.08,40.55,36.23,35.06,761.24
480.08,40.55,36.23,35.18,694.78
483.08,40.74,36.26,35.12,839.08
486.08,40.68,36.32,35.27,563.85
489.08,40.74,36.29,35.27,756.62
492.08,40.78,36.38,35.24,678.15
495.08,40.58,36.35,35.15,744.08
498.08,40.74,36.47,35.09,678.9
501.08,40.58,36.41,35.24,488.22
504.08,40.65,36.26,35.09,790.7
507.08,40.65,36.38,35.3,327.54
510.08,40.74,36.44,35.39,554.03
513.08,40.91,36.5,35.3,586.15
516.08,40.74,36.44,35.27,504.99
519.08,40.74,36.26,35.12,629.26
522.08,40.71,36.41,35.24,323.81
525.08,40.68,36.23,35.21,535.29
528.08,40.68,36.38,35.12,484.69
531.08,40.42,36.2,35.27,265.54
534.08,40.71,36.26,35.03,665.49
537.08,40.52,36.26,35.15,182.85
540.08,40.65,36.23,35.06,523.33
543.08,40.61,36.44,35.06,290.92
546.08,40.61,36.29,35.06,355.92
549.08,40.74,36.26,35.03,329.97
552.08,40.58,36.5,35.06,261.07
555.08,40.55,36.08,34.91,425.82
558.08,40.48,36.32,35.12,19.9
561.08,40.84,36.44,35.15,281.66
