Temps (s),Temp 1 (°C),Temp 2 (°C),Temp 3 (°C)
198.0,12.93,16.72,18.08
199.0,12.93,16.63,18.08
200.0,12.93,16.63,18.08
201.0,12.93,16.63,18.0
202.0,12.84,16.63,18.0
203.0,12.84,16.63,18.0
204.0,12.75,16.54,17.91
205.0,12.84,16.63,17.91
206.0,12.84,16.54,17.91
207.0,12.75,16.54,17.91
208.0,12.75,16.46,17.83
209.0,12.75,16.46,17.83
210.0,12.75,16.46,17.83
211.0,12.75,16.46,17.83
212.0,12.75,16.37,17.74
213.0,12.84,16.37,17.74
214.0,12.84,16.37,17.74
215.0,12.84,16.37,17.74
216.0,12.84,16.37,17.74
217.0,12.84,16.37,17.66
218.0,12.75,16.37,17.66
219.0,12.75,16.29,17.66
220.0,12.84,16.29,17.66
221.0,12.84,16.29,17.66
222.0,12.93,16.29,17.66
223.0,12.93,16.29,17.66
224.0,12.93,16.29,17.74
225.0,12.93,16.2,17.74
226.0,12.84,16.2,17.66
227.0,12.84,16.2,17.66
228.0,12.84,16.2,17.66
229.0,12.93,16.2,17.57
230.0,12.93,16.2,17.66
231.0,12.93,16.2,17.57
232.0,12.84,16.29,17.57
233.0,12.84,16.2,17.48
234.0,12.93,16.29,17.48
235.0,12.84,16.2,17.48
236.0,12.75,16.12,17.48
237.0,12.75,16.12,17.48
238.0,12.75,16.12,17.48
239.0,12.75,16.12,17.48
240.0,12.75,16.12,17.4
241.0,12.84,16.12,17.4
242.0,12.67,16.12,17.4
243.0,12.67,16.03,17.4
244.0,12.67,16.03,17.31
245.0,12.67,16.03,17.31
246.0,12.67,16.03,17.31
247.0,12.67,16.03,17.31
248.0,12.67,16.03,17.31
249.0,12.67,16.03,17.31
250.0,12.67,16.03,17.31
251.0,12.58,15.95,17.31
252.0,12.58,15.95,17.23
253.0,12.49,15.95,17.23
254.0,12.49,15.95,17.23
255.0,12.58,15.95,17.23
256.0,12.67,15.95,17.23
257.0,12.67,15.95,17.23
258.0,12.67,15.95,17.14
259.0,12.67,15.95,17.23
260.0,12.67,15.86,17.14
261.0,12.67,15.95,17.14
262.0,12.67,15.95,17.14
263.0,12.58,15.95,17.14
264.0,12.58,15.86,17.14
265.0,12.67,15.86,17.14
266.0,12.58,15.86,17.14
267.0,12.58,15.86,17.14
268.0,12.58,15.86,17.14
269.0,12.58,15.86,17.06
270.0,12.58,15.77,17.06
271.0,12.49,15.77,17.06
272.0,12.49,15.77,17.06
273.0,12.41,15.77,17.06
274.0,12.49,15.77,17.06
275.0,12.49,15.77,17.06
276.0,12.49,15.69,17.06
277.0,12.58,15.77,17.06
278.0,12.49,15.77,16.97
279.0,12.49,15.77,16.97
280.0,12.41,15.77,16.97
281.0,12.32,15.69,16.97
282.0,12.32,15.69,16.97
283.0,12.32,15.69,16.97
284.0,12.32,15.69,16.89
285.0,12.32,15.69,16.89
286.0,12.32,15.69,16.89
287.0,12.32,15.6,16.89
288.0,12.41,15.69,16.89
289.0,12.49,15.69,16.89
290.0,12.49,15.69,16.89
291.0,12.41,15.6,16.89
292.0,12.49,15.6,16.89
293.0,12.58,15.6,16.89
294.0,12.58,15.69,16.89
295.0,12.49,15.69,16.8
296.0,12.49,15.6,16.8
297.0,12.49,15.6,16.8
298.0,12.49,15.6,16.8
299.0,12.41,15.69,16.72
300.0,12.49,15.6,16.8
301.0,12.49,15.69,16.72
302.0,12.41,15.6,16.8
303.0,12.41,15.6,16.72
304.0,12.49,15.6,16.72
305.0,12.41,15.6,16.72
306.0,12.41,15.52,16.8
307.0,12.41,15.52,16.72
308.0,12.49,15.6,16.72
309.0,12.41,15.52,16.72
310.0,12.41,15.52,16.72
311.0,12.41,15.52,16.72
312.0,12.41,15.6,16.72
313.0,12.41,15.52,16.72
314.0,12.32,15.52,16.72
315.0,12.41,15.52,16.72
316.0,12.41,15.52,16.63
317.0,12.41,15.52,16.63
318.0,12.49,15.6,16.63
319.0,12.41,15.52,16.63
320.0,12.41,15.52,16.63
321.0,12.41,15.52,16.63
322.0,12.41,15.52,16.63
323.0,12.41,15.52,16.63
324.0,12.32,15.43,16.63
325.0,12.32,15.43,16.63
326.0,12.23,15.43,16.63
327.0,12.23,15.43,16.54
328.0,12.23,15.43,16.63
329.0,12.32,15.43,16.63
330.0,12.41,15.52,16.54
331.0,12.41,15.52,16.54
332.0,12.41,15.43,16.54
333.0,12.32,15.43,16.54
334.0,12.23,15.43,16.54
335.0,12.14,15.43,16.54
336.0,12.14,15.35,16.54
337.0,12.06,15.35,16.54
338.0,12.06,15.35,16.54
339.0,12.06,15.35,16.46
340.0,11.97,15.35,16.54
341.0,11.97,15.26,16.46
342.0,11.88,15.26,16.46
343.0,11.88,15.26,16.46
344.0,11.88,15.26,16.46
345.0,11.88,15.26,16.46
346.0,11.79,15.26,16.54
347.0,11.88,15.26,16.46
348.0,11.79,15.26,16.46
349.0,11.79,15.26,16.54
350.0,11.79,15.26,16.54
351.0,11.79,15.17,16.54
352.0,11.71,15.26,16.54
353.0,11.71,15.17,16.54
354.0,11.79,15.17,16.54
355.0,11.79,15.17,16.54
356.0,11.79,15.17,16.54
357.0,11.79,15.17,16.54
358.0,11.79,15.17,16.54
359.0,11.71,15.17,16.46
360.0,11.71,15.17,16.54
361.0,11.71,15.17,16.46
362.0,11.71,15.17,16.46
363.0,11.71,15.09,16.46
364.0,11.62,15.09,16.54
365.0,11.62,15.09,16.46
366.0,11.62,15.09,16.46
367.0,11.62,15.09,16.46
368.0,11.62,15.09,16.37
369.0,11.71,15.09,16.37
370.0,11.71,15.09,16.37
371.0,11.79,15.09,16.37
372.0,11.97,15.09,16.37
373.0,11.97,15.09,16.37
374.0,11.97,15.17,16.29
375.0,11.97,15.17,16.37
376.0,12.06,15.17,16.29
377.0,12.06,15.17,16.29
378.0,12.06,15.17,16.29
379.0,12.14,15.17,16.29
380.0,12.06,15.09,16.29
381.0,12.06,15.09,16.29
382.0,12.06,15.09,16.29
383.0,11.97,15.0,16.29
384.0,11.88,15.0,16.2
385.0,11.97,15.09,16.2
386.0,11.88,15.0,16.2
387.0,11.88,15.0,16.2
388.0,11.88,15.0,16.2
389.0,11.79,15.0,16.2
390.0,11.79,15.0,16.2
391.0,11.79,15.0,16.2
392.0,11.88,15.0,16.2
393.0,11.79,15.0,16.2
394.0,11.79,15.0,16.2
395.0,11.71,14.92,16.2
396.0,11.79,15.0,16.2
397.0,11.79,15.0,16.29
398.0,11.97,15.0,16.29
399.0,11.97,15.0,16.29
400.0,11.97,15.0,16.2
401.0,11.88,15.0,16.2
402.0,11.88,15.0,16.2
403.0,11.88,15.0,16.2
404.0,11.88,15.0,16.2
405.0,11.88,15.0,16.2
406.0,11.88,15.0,16.2
407.0,11.88,15.0,16.2
408.0,11.88,15.0,16.2
409.0,11.88,15.0,16.2
410.0,11.88,15.0,16.2
411.0,11.79,15.09,16.2
412.0,11.88,15.09,16.2
413.0,11.88,15.09,16.2
414.0,11.88,15.0,16.2
415.0,11.79,15.0,16.2
416.0,11.79,15.0,16.2
417.0,11.79,15.0,16.2
418.0,11.88,15.0,16.2
419.0,11.88,15.0,16.2
420.0,11.88,15.0,16.2
421.0,11.88,15.0,16.2
422.0,11.88,14.92,16.2
423.0,11.97,15.0,16.2
424.0,11.79,14.92,16.12
425.0,11.79,14.92,16.12
426.0,11.88,15.0,16.12
427.0,11.79,14.92,16.12
428.0,11.79,14.92,16.12
429.0,11.79,14.92,16.12
430.0,11.79,14.92,16.12
431.0,11.79,14.92,16.12
432.0,11.71,14.92,16.03
433.0,11.71,14.83,16.03
434.0,11.71,14.92,16.03
435.0,11.71,14.83,16.12
436.0,11.79,14.92,16.03
437.0,11.88,14.92,16.12
438.0,11.88,14.92,16.12
439.0,11.88,14.92,16.2
440.0,11.88,14.92,16.2
441.0,11.88,15.0,16.2
442.0,12.06,14.92,16.29
443.0,12.32,14.92,16.2
444.0,12.75,14.92,16.2
445.0,13.1,14.92,16.2
446.0,13.45,15.0,16.2
447.0,13.8,15.0,16.2
448.0,14.05,15.0,16.2
449.0,14.4,15.09,16.2
450.0,14.66,15.09,16.2
451.0,15.0,15.17,16.2
452.0,15.26,15.26,16.2
453.0,15.43,15.35,16.12
454.0,15.69,15.43,16.2
455.0,15.95,15.52,16.2
456.0,16.12,15.52,16.2
457.0,16.29,15.6,16.2
458.0,16.54,15.69,16.2
459.0,16.63,15.77,16.2
460.0,16.8,15.86,16.2
461.0,16.97,15.95,16.29
462.0,17.14,16.2,16.29
463.0,17.31,16.2,16.29
464.0,17.4,16.29,16.37
465.0,17.57,16.37,16.37
466.0,17.66,16.46,16.46
467.0,17.83,16.54,16.46
468.0,17.91,16.63,16.54
469.0,18.0,16.72,16.54
470.0,18.17,16.8,16.54
471.0,18.25,16.89,16.63
472.0,18.34,16.89,16.63
473.0,18.42,16.97,16.72
474.0,18.51,17.06,16.72
475.0,18.68,17.14,16.8
476.0,18.77,17.23,16.8
477.0,18.85,17.31,16.89
478.0,18.94,17.4,16.97
479.0,19.02,17.48,16.97
480.0,19.02,17.57,17.06
481.0,19.11,17.57,17.14
482.0,19.19,17.66,17.14
483.0,19.28,17.74,17.23
484.0,19.36,17.83,17.31
485.0,19.45,17.83,17.31
486.0,19.45,17.91,17.4
487.0,19.53,18.0,17.48
488.0,19.62,18.08,17.48
489.0,19.62,18.08,17.57
490.0,19.7,18.17,17.66
491.0,19.79,18.25,17.66
492.0,19.88,18.34,17.74
493.0,19.96,18.42,17.83
494.0,20.05,18.51,17.91
495.0,20.13,18.59,17.91
496.0,20.13,18.59,18.0
497.0,20.22,18.68,18.08
498.0,20.22,18.77,18.08
499.0,20.3,18.77,18.17
500.0,20.3,18.85,18.25
501.0,20.39,18.94,18.25
502.0,20.47,19.02,18.34
503.0,20.47,19.02,18.42
504.0,20.56,19.11,18.51
505.0,20.56,19.19,18.51
506.0,20.64,19.19,18.59
507.0,20.73,19.28,18.59
508.0,20.73,19.36,18.68
509.0,20.82,19.36,18.68
510.0,20.82,19.45,18.77
511.0,20.9,19.45,18.85
512.0,20.9,19.53,18.94
513.0,20.99,19.62,18.94
514.0,21.07,19.7,19.02
515.0,21.07,19.7,19.02
516.0,21.16,19.79,19.11
517.0,21.16,19.88,19.19
518.0,21.24,19.88,19.28
519.0,21.33,19.96,19.28
520.0,21.33,19.96,19.36
521.0,21.42,20.13,19.45
522.0,21.42,20.13,19.45
523.0,21.5,20.13,19.53
524.0,21.59,20.22,19.62
525.0,21.59,20.3,19.62
526.0,21.67,20.3,19.7
527.0,21.67,20.39,19.79
528.0,21.76,20.39,19.79
529.0,21.76,20.47,19.88
530.0,21.84,20.56,19.96
531.0,21.84,20.56,19.96
532.0,21.84,20.64,20.05
533.0,21.84,20.64,20.05
534.0,21.93,20.73,20.13
535.0,21.93,20.73,20.13
536.0,22.02,20.82,20.22
537.0,22.02,20.82,20.3
538.0,22.02,20.9,20.3
539.0,22.1,20.9,20.39
540.0,22.19,20.99,20.39
541.0,22.19,20.99,20.47
542.0,22.19,21.07,20.56
543.0,22.27,21.07,20.56
544.0,22.27,21.16,20.56
545.0,22.27,21.16,20.56
546.0,22.36,21.24,20.64
547.0,22.36,21.24,20.73
548.0,22.45,21.33,20.73
549.0,22.45,21.33,20.82
550.0,22.53,21.42,20.82
551.0,22.53,21.42,20.82
552.0,22.62,21.5,20.9
553.0,22.62,21.5,20.9
554.0,22.62,21.59,20.99
555.0,22.7,21.59,20.99
556.0,22.7,21.67,21.07
557.0,22.7,21.67,21.07
558.0,22.7,21.67,21.16
559.0,22.79,21.76,21.16
560.0,22.79,21.76,21.24
561.0,22.88,21.84,21.24
562.0,22.88,21.93,21.33
563.0,22.88,21.93,21.33
564.0,22.88,21.93,21.33
565.0,22.96,21.93,21.42
566.0,22.96,22.02,21.42
567.0,22.96,22.1,21.5
568.0,23.05,22.1,21.5
569.0,23.05,22.1,21.59
570.0,23.13,22.19,21.59
571.0,23.13,22.19,21.67
572.0,23.22,22.19,21.67
573.0,23.31,22.27,21.76
574.0,23.22,22.27,21.76
575.0,23.22,22.27,21.76
576.0,23.31,22.36,21.84
577.0,23.31,22.36,21.84
578.0,23.31,22.45,21.84
579.0,23.31,22.45,21.84
580.0,23.39,22.45,21.93
581.0,23.39,22.45,21.93
582.0,23.39,22.53,22.02
583.0,23.48,22.53,22.02
584.0,23.48,22.62,22.02
585.0,23.48,22.62,22.1
586.0,23.57,22.62,22.1
587.0,23.57,22.7,22.1
588.0,23.57,22.7,22.19
589.0,23.57,22.7,22.19
590.0,23.57,22.7,22.19
591.0,23.65,22.79,22.27
592.0,23.65,22.79,22.27
593.0,23.65,22.88,22.27
594.0,23.74,22.88,22.36
595.0,23.74,22.88,22.36
596.0,23.74,22.88,22.36
597.0,23.74,22.96,22.45
598.0,23.74,22.96,22.45
599.0,23.83,22.96,22.45
600.0,23.83,23.05,22.53
601.0,23.83,23.05,22.53
602.0,23.91,23.05,22.53
603.0,23.91,23.13,22.53
604.0,23.91,23.13,22.62
605.0,23.91,23.13,22.62
606.0,24.0,23.13,22.7
607.0,24.0,23.22,22.7
608.0,24.0,23.22,22.7
609.0,24.0,23.22,22.7
610.0,24.09,23.31,22.7
611.0,24.09,23.31,22.79
612.0,24.09,23.31,22.79
613.0,24.17,23.31,22.79
614.0,24.09,23.39,22.88
615.0,24.09,23.39,22.88
616.0,24.17,23.39,22.88
617.0,24.17,23.39,22.96
618.0,24.17,23.39,22.96
619.0,24.17,23.48,22.96
620.0,24.17,23.48,22.96
621.0,24.26,23.48,23.05
622.0,24.26,23.57,23.05
623.0,24.26,23.57,23.05
624.0,24.26,23.57,23.05
625.0,24.26,23.57,23.13
626.0,24.35,23.57,23.13
627.0,24.35,23.57,23.13
628.0,24.35,23.65,23.22
629.0,24.35,23.65,23.22
630.0,24.35,23.74,23.22
631.0,24.43,23.74,23.22
632.0,24.43,23.74,23.22
633.0,24.43,23.74,23.31
634.0,24.43,23.74,23.31
635.0,24.43,23.83,23.31
636.0,24.52,23.83,23.31
637.0,24.52,23.83,23.39
638.0,24.52,23.83,23.39
639.0,24.52,23.83,23.39
640.0,24.52,23.91,23.39
641.0,24.52,23.91,23.48
642.0,24.61,23.91,23.48
643.0,24.61,23.91,23.48
644.0,24.61,23.91,23.48
645.0,24.61,23.91,23.48
646.0,24.61,24.0,23.48
647.0,24.61,24.0,23.57
648.0,24.61,24.0,23.57
649.0,24.69,24.0,23.57
650.0,24.69,24.09,23.57
651.0,24.69,24.09,23.57
652.0,24.69,24.09,23.65
653.0,24.69,24.09,23.65
654.0,24.69,24.09,23.65
655.0,24.69,24.09,23.65
656.0,24.78,24.17,23.65
657.0,24.78,24.17,23.65
658.0,24.78,24.26,23.74
659.0,24.78,24.17,23.74
660.0,24.78,24.17,23.74
661.0,24.78,24.17,23.74
662.0,24.78,24.26,23.83
663.0,24.78,24.26,23.74
664.0,24.78,24.26,23.83
665.0,24.87,24.26,23.83
666.0,24.87,24.26,23.83
667.0,24.87,24.26,23.83
668.0,24.87,24.26,23.91
669.0,24.87,24.35,23.91
670.0,24.87,24.35,23.91
671.0,24.96,24.35,23.91
672.0,24.96,24.35,23.91
673.0,24.96,24.35,23.91
674.0,24.96,24.35,23.91
675.0,24.96,24.43,24.0
676.0,24.96,24.43,24.0
677.0,24.96,24.43,24.0
678.0,25.04,24.43,24.0
679.0,25.04,24.52,24.0
680.0,25.04,24.43,24.0
681.0,25.04,24.43,24.09
682.0,25.04,24.52,24.09
683.0,25.04,24.52,24.09
684.0,25.04,24.52,24.09
685.0,25.13,24.52,24.09
686.0,25.13,24.52,24.09
687.0,25.13,24.61,24.09
688.0,25.13,24.52,24.17
689.0,25.13,24.61,24.17
690.0,25.13,24.61,24.17
691.0,25.13,24.61,24.17
692.0,25.22,24.61,24.17
693.0,25.22,24.61,24.17
694.0,25.22,24.61,24.17
695.0,25.22,24.61,24.26
696.0,25.22,24.69,24.26
697.0,25.22,24.69,24.26
698.0,25.22,24.69,24.26
699.0,25.22,24.78,24.26
700.0,25.22,24.69,24.26
701.0,25.22,24.69,24.26
702.0,25.31,24.69,24.26
703.0,25.22,24.69,24.26
704.0,25.22,24.78,24.35
705.0,25.31,24.78,24.35
706.0,25.31,24.78,24.35
707.0,25.31,24.78,24.35
708.0,25.31,24.78,24.35
709.0,25.31,24.78,24.35
710.0,25.31,24.78,24.35
711.0,25.31,24.78,24.35
712.0,25.31,24.78,24.43
713.0,25.31,24.78,24.43
714.0,25.31,24.87,24.43
715.0,25.31,24.78,24.43
716.0,25.31,24.87,24.43
717.0,25.39,24.87,24.43
718.0,25.31,24.87,24.43
719.0,25.39,24.87,24.43
720.0,25.39,24.87,24.43
721.0,25.39,24.87,24.43
722.0,25.39,24.87,24.43
723.0,25.39,24.87,24.43
724.0,25.39,24.96,24.52
725.0,25.39,24.87,24.52
726.0,25.39,24.96,24.52
727.0,25.39,24.96,24.52
728.0,25.39,24.96,24.52
729.0,25.39,24.96,24.52
730.0,25.39,24.96,24.52
731.0,25.39,24.96,24.52
732.0,25.39,24.96,24.61
733.0,25.39,24.96,24.61
734.0,25.39,25.04,24.61
735.0,25.48,24.96,24.61
736.0,25.48,24.96,24.61
737.0,25.48,25.13,24.61
738.0,25.48,25.04,24.61
739.0,25.48,25.13,24.61
740.0,25.48,25.04,24.61
741.0,25.48,25.04,24.61
742.0,25.48,25.04,24.61
743.0,25.57,25.04,24.61
744.0,25.48,25.04,24.69
745.0,25.57,25.13,24.69
746.0,25.57,25.13,24.69
747.0,25.57,25.13,24.69
748.0,25.57,25.13,24.69
749.0,25.57,25.13,24.69
750.0,25.57,25.13,24.69
751.0,25.57,25.13,24.69
752.0,25.57,25.13,24.69
753.0,25.57,25.13,24.69
754.0,25.57,25.13,24.69
755.0,25.57,25.13,24.69
756.0,25.57,25.13,24.69
757.0,25.57,25.13,24.78
758.0,25.57,25.22,24.78
759.0,25.57,25.22,24.78
760.0,25.66,25.22,24.78
761.0,25.66,25.22,24.78
762.0,25.66,25.22,24.78
763.0,25.66,25.22,24.78
764.0,25.66,25.22,24.78
765.0,25.57,25.22,24.78
766.0,25.66,25.22,24.78
767.0,25.66,25.22,24.78
768.0,25.66,25.22,24.78
769.0,25.66,25.22,24.87
770.0,25.66,25.22,24.78
771.0,25.74,25.31,24.87
772.0,25.74,25.22,24.87
773.0,25.74,25.31,24.87
774.0,25.74,25.31,24.87
775.0,25.74,25.31,24.96
776.0,25.74,25.31,24.87
777.0,25.74,25.31,24.87
778.0,25.74,25.31,24.87
779.0,25.74,25.31,24.87
780.0,25.83,25.31,24.87
781.0,25.74,25.31,24.87
782.0,25.74,25.31,24.87
783.0,25.74,25.31,24.87
784.0,25.74,25.31,24.96
785.0,25.74,25.31,24.96
786.0,25.74,25.39,24.96
787.0,25.74,25.39,24.96
788.0,25.74,25.39,24.96
789.0,25.74,25.39,24.96
790.0,25.83,25.39,24.96
791.0,25.83,25.39,24.96
792.0,25.83,25.39,25.04
793.0,25.83,25.39,24.96
794.0,25.83,25.39,25.04
795.0,25.83,25.39,24.96
796.0,25.74,25.48,25.04
797.0,25.83,25.39,24.96
798.0,25.83,25.39,25.04
799.0,25.83,25.39,25.04
800.0,25.83,25.39,25.04
801.0,25.83,25.39,25.04
802.0,25.83,25.39,25.04
803.0,25.83,25.48,25.04
804.0,25.83,25.39,25.04
805.0,25.83,25.48,25.04
806.0,25.92,25.48,25.04
807.0,25.83,25.48,25.04
808.0,25.92,25.48,25.04
809.0,25.83,25.48,25.13
810.0,25.92,25.48,25.13
811.0,25.92,25.48,25.13
812.0,25.92,25.48,25.13
813.0,25.92,25.48,25.13
814.0,25.92,25.48,25.13
815.0,25.92,25.48,25.13
816.0,25.92,25.48,25.13
817.0,25.92,25.48,25.13
818.0,25.92,25.48,25.13
819.0,25.92,25.48,25.13
820.0,25.92,25.48,25.13
821.0,25.92,25.48,25.13
822.0,25.92,25.57,25.13
823.0,25.92,25.48,25.13
824.0,25.92,25.57,25.13
825.0,25.92,25.57,25.13
826.0,25.92,25.57,25.13
827.0,25.92,25.57,25.22
828.0,25.92,25.57,25.13
829.0,25.92,25.57,25.22
830.0,25.92,25.57,25.22
831.0,25.92,25.57,25.22
832.0,25.92,25.57,25.22
833.0,25.92,25.57,25.22
834.0,25.92,25.57,25.22
835.0,25.92,25.57,25.22
836.0,25.92,25.57,25.22
837.0,25.92,25.57,25.22
838.0,25.92,25.57,25.22
839.0,25.92,25.57,25.22
840.0,25.92,25.57,25.22
841.0,25.92,25.57,25.22
842.0,25.92,25.57,25.22
843.0,25.92,25.57,25.22
844.0,25.92,25.57,25.22
845.0,25.92,25.57,25.22
846.0,25.92,25.57,25.22
847.0,25.92,25.57,25.22
848.0,25.92,25.57,25.22
849.0,25.92,25.57,25.22
850.0,25.92,25.66,25.22
851.0,25.92,25.57,25.22
852.0,25.92,25.57,25.22
853.0,25.92,25.57,25.22
854.0,26.01,25.57,25.22
855.0,26.01,25.57,25.22
856.0,25.92,25.57,25.22
857.0,25.92,25.57,25.22
858.0,25.92,25.57,25.22
859.0,25.92,25.57,25.22
860.0,25.92,25.57,25.22
